Reef	Area	Number of tows	Total number of starfish on tows	Total number of starfish on swim search
Bowden	-	5	39	407
Centipede	A	8	0	3
Centipede	B	7	0	2
Centipede	C	7	1	14
Centipede	D	10	7	35
Centipede	E	5	2	31
Centipede	F	5	0	26
Centipede	G	15	3	44
Davies	A	6	2	24
Davies	B	3	0	0
Davies	C	5	0	3
Davies	D	12	2	10
Davies	E	6	19	105
Davies	F	5	3	17
Gannet Cay first survey	-	4	3	55
Gannet Cay second survey	-	4	1	23
Little Broadhurst	A	6	606	1361
Little Broadhurst	B	5	554	1048
Little Broadhurst	C	7	450	1284
Little Broadhurst	D	5	270	1306
Little Broadhurst	E	5	39	145
22110	A	3	4	61
22110	B	3	4	2
22110	C	2	6	64
22112	A	2	3	28
22112	B	6	0	18
22112	C	2	0	15
22112	D	3	10	80
Sanctuary first survey	-	4	18	75
Sanctuary second survey	-	4	5	12
Total	30	164	2051	6298
