SampledYear,ReefID,MngtArea,N,MEAN_COUNT
1991,14-085,Cairns/Cooktown,52,0
1991,14-114,Cairns/Cooktown,13,0
1991,14-126,Cairns/Cooktown,30,0
1991,14-138,Cairns/Cooktown,83,0
1991,17-012,Cairns/Cooktown,20,0
1991,17-013,Cairns/Cooktown,23,0
1991,17-032,Cairns/Cooktown,59,0
1991,17-047,Cairns/Cooktown,53,0
1991,17-024,Cairns/Cooktown,54,0
1991,12-137,Far Northern,41,0.024390243902439
1991,13-124,Far Northern,61,0.0491803278688525
1991,13-127,Far Northern,42,0
1991,12-027,Far Northern,6,0.5
1991,14-109,Far Northern,22,0
1991,11-184c,Far Northern,35,0.257142857142857
1991,13-060,Far Northern,99,0.292929292929293
1991,14-017,Far Northern,67,0.164179104477612
1991,12-016b,Far Northern,33,0.333333333333333
1991,12-006,Far Northern,33,0
1991,12-042,Far Northern,20,0
1991,12-068,Far Northern,34,0
1991,12-104,Far Northern,60,0
1991,12-116,Far Northern,30,0
1991,14-062,Far Northern,44,0
1991,21-556,Mackay/Capricorn,19,1.94736842105263
1991,23-052a,Mackay/Capricorn,109,0
1991,23-055a,Mackay/Capricorn,66,0
1991,23-069,Mackay/Capricorn,52,0
1991,23-077,Mackay/Capricorn,62,0
1991,23-080,Mackay/Capricorn,28,0
1991,23-082a,Mackay/Capricorn,57,0
1991,21-139,Mackay/Capricorn,56,0
1991,21-187,Mackay/Capricorn,46,0.0434782608695652
1991,21-305,Mackay/Capricorn,56,0
1991,21-542,Mackay/Capricorn,26,0.0769230769230769
1991,22-109,Mackay/Capricorn,49,0.102040816326531
1991,21-566,Mackay/Capricorn,44,0
1991,21-586,Mackay/Capricorn,27,0
1991,22-113,Mackay/Capricorn,23,0.0434782608695652
1991,22-110,Mackay/Capricorn,6,0
1991,22-112,Mackay/Capricorn,11,0
1991,22-118,Mackay/Capricorn,19,0
1991,22-141,Mackay/Capricorn,35,0.142857142857143
1991,21-186,Mackay/Capricorn,46,0
1991,21-235,Mackay/Capricorn,55,0.4
1991,20-396,Mackay/Capricorn,30,0.0333333333333333
1991,21-155,Mackay/Capricorn,23,3.95652173913043
1991,21-190,Mackay/Capricorn,30,0.0333333333333333
1991,21-198,Mackay/Capricorn,26,5
1991,21-234,Mackay/Capricorn,27,0
1991,21-262a,Mackay/Capricorn,31,0
1991,21-274,Mackay/Capricorn,41,0.0487804878048781
1991,21-281,Mackay/Capricorn,66,0.0303030303030303
1991,21-294,Mackay/Capricorn,49,0.0204081632653061
1991,21-540,Mackay/Capricorn,26,0.230769230769231
1991,18-096,Townsville/Whitsunday,45,0.288888888888889
1991,18-101,Townsville/Whitsunday,80,0.7
1991,18-112,Townsville/Whitsunday,27,0.111111111111111
1991,19-019,Townsville/Whitsunday,76,0.789473684210526
1991,19-063a,Townsville/Whitsunday,83,0.0481927710843374
1991,19-076,Townsville/Whitsunday,48,0
1991,18-034,Townsville/Whitsunday,39,0
1991,18-088,Townsville/Whitsunday,59,0.0338983050847458
1991,18-099,Townsville/Whitsunday,55,0
1991,19-044,Townsville/Whitsunday,28,0.0714285714285714
1991,19-063b,Townsville/Whitsunday,28,0.0357142857142857
1991,19-135,Townsville/Whitsunday,125,0.624
1991,18-090,Townsville/Whitsunday,17,0
1991,18-091,Townsville/Whitsunday,69,0.681159420289855
1991,18-118,Townsville/Whitsunday,54,0
1991,19-045,Townsville/Whitsunday,120,0
1991,19-098,Townsville/Whitsunday,59,0.0169491525423729
1991,19-107,Townsville/Whitsunday,68,0
1991,19-109a,Townsville/Whitsunday,53,0.0566037735849057
1991,19-137,Townsville/Whitsunday,43,0
1991,19-046,Townsville/Whitsunday,25,0
1991,19-047,Townsville/Whitsunday,30,0.0333333333333333
1991,19-082,Townsville/Whitsunday,32,0.03125
1991,19-103a,Townsville/Whitsunday,19,0
1991,19-024,Townsville/Whitsunday,67,0.0447761194029851
1991,19-133,Townsville/Whitsunday,9,0
1991,18-023,Townsville/Whitsunday,19,0
1991,19-027,Townsville/Whitsunday,16,0.0625
1991,19-078,Townsville/Whitsunday,20,0
1992,15-013,Cairns/Cooktown,55,0.0181818181818182
1992,15-096,Cairns/Cooktown,50,0
1992,16-025,Cairns/Cooktown,63,0
1992,16-054a,Cairns/Cooktown,39,0
1992,16-068,Cairns/Cooktown,38,0
1992,16-026,Cairns/Cooktown,61,0
1992,16-049,Cairns/Cooktown,48,0
1992,16-049,Cairns/Cooktown,51,0
1992,16-057,Cairns/Cooktown,61,0.0163934426229508
1992,16-057,Cairns/Cooktown,59,0.0508474576271186
1992,16-060,Cairns/Cooktown,124,0.0161290322580645
1992,14-154,Cairns/Cooktown,77,0
1992,15-028,Cairns/Cooktown,36,0.194444444444444
1992,15-030,Cairns/Cooktown,15,0.133333333333333
1992,15-081,Cairns/Cooktown,66,0.0303030303030303
1992,15-088,Cairns/Cooktown,67,0
1992,15-089,Cairns/Cooktown,100,0.01
1992,15-089,Cairns/Cooktown,75,0.0133333333333333
1992,15-043,Cairns/Cooktown,78,0
1992,15-047,Cairns/Cooktown,43,0.0697674418604651
1992,15-070,Cairns/Cooktown,67,0
1992,12-061,Far Northern,58,0
1992,13-124,Far Northern,65,0.0769230769230769
1992,13-127,Far Northern,46,0
1992,13-133,Far Northern,61,0
1992,14-045,Far Northern,38,0
1992,12-071,Far Northern,26,0
1992,12-102,Far Northern,24,0.0833333333333333
1992,13-056,Far Northern,28,0
1992,13-063,Far Northern,73,0.0136986301369863
1992,13-006,Far Northern,37,0.351351351351351
1992,11-184c,Far Northern,37,0
1992,12-010,Far Northern,50,0
1992,12-016b,Far Northern,37,0.0810810810810811
1992,21-529,Mackay/Capricorn,32,0
1992,21-556,Mackay/Capricorn,20,6.1
1992,22-088a,Mackay/Capricorn,102,0.803921568627451
1992,23-048,Mackay/Capricorn,50,0
1992,23-051,Mackay/Capricorn,45,0
1992,23-055a,Mackay/Capricorn,75,0
1992,23-082a,Mackay/Capricorn,62,0
1992,22-102,Mackay/Capricorn,35,0.114285714285714
1992,22-104a,Mackay/Capricorn,80,0.0125
1992,22-112,Mackay/Capricorn,12,0
1992,22-118,Mackay/Capricorn,22,0
1992,22-144,Mackay/Capricorn,33,0
1992,21-577,Mackay/Capricorn,33,0
1992,18-075,Townsville/Whitsunday,79,0
1992,18-096,Townsville/Whitsunday,44,0.0454545454545455
1992,18-106,Townsville/Whitsunday,58,0.0344827586206897
1992,19-138,Townsville/Whitsunday,31,0
1992,18-034,Townsville/Whitsunday,52,0
1992,18-039,Townsville/Whitsunday,41,0
1992,19-159,Townsville/Whitsunday,42,0
1992,19-207,Townsville/Whitsunday,57,0
1992,20-014,Townsville/Whitsunday,35,0
1992,19-137,Townsville/Whitsunday,48,0.208333333333333
1992,20-019,Townsville/Whitsunday,32,0
1992,18-076,Townsville/Whitsunday,14,0
1992,19-195,Townsville/Whitsunday,40,0
1993,14-085,Cairns/Cooktown,56,0
1993,14-114,Cairns/Cooktown,16,0.1875
1993,14-114,Cairns/Cooktown,14,0.428571428571429
1993,14-116a,Cairns/Cooktown,74,0.22972972972973
1993,14-123,Cairns/Cooktown,50,0
1993,14-126,Cairns/Cooktown,32,0
1993,14-137,Cairns/Cooktown,84,0
1993,14-138,Cairns/Cooktown,76,0.0131578947368421
1993,14-138,Cairns/Cooktown,81,0
1993,14-139,Cairns/Cooktown,54,0
1993,14-143,Cairns/Cooktown,17,0.0588235294117647
1993,14-152,Cairns/Cooktown,22,0
1993,15-002,Cairns/Cooktown,21,0
1993,15-009,Cairns/Cooktown,56,0.178571428571429
1993,15-012,Cairns/Cooktown,70,0
1993,15-012,Cairns/Cooktown,57,0
1993,15-013,Cairns/Cooktown,50,0
1993,15-084,Cairns/Cooktown,44,0.0909090909090909
1993,15-085,Cairns/Cooktown,41,0
1993,15-096,Cairns/Cooktown,46,0
1993,16-019,Cairns/Cooktown,99,0.0101010101010101
1993,16-020a,Cairns/Cooktown,46,0.0434782608695652
1993,17-012,Cairns/Cooktown,18,0
1993,14-135,Cairns/Cooktown,44,0.0227272727272727
1993,15-098,Cairns/Cooktown,18,0
1993,16-015,Cairns/Cooktown,23,0.0434782608695652
1993,16-028,Cairns/Cooktown,33,0
1993,16-032,Cairns/Cooktown,20,0
1993,16-023,Cairns/Cooktown,38,0.0263157894736842
1993,16-040,Cairns/Cooktown,11,0
1993,15-027,Cairns/Cooktown,25,0.12
1993,15-088,Cairns/Cooktown,68,0
1993,17-010,Cairns/Cooktown,46,0.0434782608695652
1993,16-043a,Cairns/Cooktown,36,0
1993,15-032,Cairns/Cooktown,53,0
1993,15-005,Cairns/Cooktown,22,0
1993,15-047,Cairns/Cooktown,47,0
1993,14-115,Cairns/Cooktown,25,0
1993,12-061,Far Northern,55,0
1993,13-124,Far Northern,58,0
1993,13-127,Far Northern,36,0
1993,12-027,Far Northern,7,0.142857142857143
1993,12-098,Far Northern,18,0
1993,12-107,Far Northern,92,0
1993,13-040,Far Northern,38,0
1993,13-121,Far Northern,34,0
1993,14-056,Far Northern,49,0.0204081632653061
1993,14-109,Far Northern,23,0.0869565217391304
1993,12-010,Far Northern,60,0
1993,13-041,Far Northern,51,0
1993,14-017,Far Northern,59,0.11864406779661
1993,14-064,Far Northern,50,0.06
1993,11-167,Far Northern,24,0
1993,14-097,Far Northern,18,0
1993,18-032,Townsville/Whitsunday,39,0.0256410256410256
1993,18-086,Townsville/Whitsunday,40,0
1993,18-096,Townsville/Whitsunday,43,0
1993,18-112,Townsville/Whitsunday,31,0
1993,19-019,Townsville/Whitsunday,72,0.0138888888888889
1993,19-019,Townsville/Whitsunday,80,0
1993,19-063a,Townsville/Whitsunday,83,0.0120481927710843
1993,18-029,Townsville/Whitsunday,112,0
1993,18-034,Townsville/Whitsunday,40,0
1993,18-120,Townsville/Whitsunday,30,0.0666666666666667
1993,19-044,Townsville/Whitsunday,31,0
1993,19-044,Townsville/Whitsunday,34,0
1993,19-063b,Townsville/Whitsunday,28,0
1993,19-135,Townsville/Whitsunday,114,0.0263157894736842
1993,20-104,Townsville/Whitsunday,25,0
1993,18-118,Townsville/Whitsunday,53,0
1993,19-045,Townsville/Whitsunday,106,0
1993,19-028,Townsville/Whitsunday,23,0
1993,19-047,Townsville/Whitsunday,33,0
1993,20-144,Townsville/Whitsunday,21,0
1993,20-287,Townsville/Whitsunday,62,0
1993,18-023,Townsville/Whitsunday,19,0
1994,14-114,Cairns/Cooktown,17,0.294117647058824
1994,14-116a,Cairns/Cooktown,90,0.533333333333333
1994,14-123,Cairns/Cooktown,50,0
1994,14-126,Cairns/Cooktown,32,0.0625
1994,14-137,Cairns/Cooktown,91,0
1994,14-138,Cairns/Cooktown,91,0
1994,14-139,Cairns/Cooktown,62,0
1994,14-143,Cairns/Cooktown,18,0.555555555555556
1994,15-012,Cairns/Cooktown,61,0
1994,15-050,Cairns/Cooktown,71,0
1994,15-090,Cairns/Cooktown,34,0
1994,15-092,Cairns/Cooktown,38,0
1994,15-094,Cairns/Cooktown,55,0
1994,15-099a,Cairns/Cooktown,49,0
1994,15-099c,Cairns/Cooktown,31,0
1994,16-020a,Cairns/Cooktown,67,0
1994,16-020a,Cairns/Cooktown,72,0.0277777777777778
1994,16-046,Cairns/Cooktown,36,0
1994,16-054a,Cairns/Cooktown,37,0
1994,16-065,Cairns/Cooktown,22,0
1994,16-065,Cairns/Cooktown,22,0
1994,16-067,Cairns/Cooktown,28,0.0357142857142857
1994,16-068,Cairns/Cooktown,38,0
1994,16-071,Cairns/Cooktown,73,0.0136986301369863
