"Region","Shelf","all_geom","coral_geom"
"Cairns/Cooktown","Inner",105.147573,88.056307
"Far Northern","Inner",354.23787,207.450749
"Mackay/Capricorn","Inner",157.057969,85.063845
"Townsville/Whitsunday","Inner",228.320967,136.635416
"Cairns/Cooktown","Mid",3197.059841,1307.087335
"Far Northern","Mid",5355.087794,1505.62711
"Mackay/Capricorn","Mid",4846.356201,2630.92585
"Townsville/Whitsunday","Mid",6280.031378,3065.946831
"Cairns/Cooktown","Outer",1077.532462,659.12842
"Far Northern","Outer",2625.298461,1251.031957
"Mackay/Capricorn","Outer",4957.494013,2825.395774
"Townsville/Whitsunday","Outer",643.044321,436.39085
